drug_a_name,drug_a_rxcui,drug_b_name,drug_b_rxcui,interaction_text,severity,sources,drug_a,drug_b,description,mechanism
Warf 5 Tablet,855332,Ecosprin Gold  10 Forte Capsule,1145998,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Ecosprin Gold  10 Forte Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Gloristat Trio Capsule,2281737,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Gloristat Trio Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Jupiros Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Jupiros Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Lipicure Gold 40 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Lipicure Gold 40 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Lipirose-Gold 10 Capsule,1145998,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Lipirose-Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Loprin 75 Tablet,176893,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Loprin 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Loprin-DS Tablet,579641,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Loprin-DS Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Novastat Gold Tablet,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Novastat Gold Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Novastat Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Novastat Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Preva Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Preva Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Preva-AS 75 Tablet,2677394,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Preva-AS 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Preva Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Preva Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Preva-AS 150 Tablet,2677394,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Preva-AS 150 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Plagerine-A Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Plagerine-A Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Plagerine-A 150 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Plagerine-A 150 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosuva Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosuva Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rozagold  20 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rozagold  20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rozagold  10 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rozagold  10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Roseday-Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Roseday-Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosuva Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosuva Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosumac Gold Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosumac Gold Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Roseday-Gold Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Roseday-Gold Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosumac Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosumac Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rozucor Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rozucor Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Razel Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Razel Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Razel Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Razel Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rozucor Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rozucor Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosutor Gold 10/75 Tablet,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosutor Gold 10/75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosutor Gold 20/75 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosutor Gold 20/75 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosumac Gold Forte 20mg Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosumac Gold Forte 20mg Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosvin-Gold 10 Capsule,1145998,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosvin-Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rozustat Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rozustat Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosulip Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosulip Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosave-Gold 20mg Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosave-Gold 20mg Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosloy Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosloy Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rozustat Gold Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rozustat Gold Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Revostat Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Revostat Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Roslaren AC 75mg/10mg/75mg Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Roslaren AC 75mg/10mg/75mg Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Rosucia-Gold Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Rosucia-Gold Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Turbovas Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Turbovas Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 5 Tablet,855332,Unistar Gold 10/75 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 5 Tablet,Unistar Gold 10/75 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Aztogold 20 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Aztogold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Aspisol 75 Tablet,29343,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Aspisol 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Atorva Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Atorva Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Aztogold 10 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Aztogold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Atorva Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Atorva Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Atormac Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Atormac Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Atorlip Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Atorlip Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Atormac Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Atormac Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Aspisol 150 Tablet,29343,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Aspisol 150 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Arreno Capsule ER,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Arreno Capsule ER,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Atorlip Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Atorlip Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Atorsave Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Atorsave Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Ecosprin 75 Tablet,202544,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Ecosprin 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Ecosprin Gold  20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Ecosprin Gold  20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Ecosprin 150 Tablet,202544,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Ecosprin 150 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Ecosprin Gold  10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Ecosprin Gold  10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Ecosprin 325 Tablet,202544,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Ecosprin 325 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Ecosprin Gold  10 Forte Capsule,1145998,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Ecosprin Gold  10 Forte Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Gloristat Trio Capsule,2281737,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Gloristat Trio Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Jupiros Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Jupiros Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Lipicure Gold 40 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Lipicure Gold 40 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Lipirose-Gold 10 Capsule,1145998,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Lipirose-Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Loprin 75 Tablet,176893,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Loprin 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Loprin-DS Tablet,579641,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Loprin-DS Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Novastat Gold Tablet,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Novastat Gold Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Novastat Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Novastat Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Preva Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Preva Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Preva-AS 75 Tablet,2677394,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Preva-AS 75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Preva Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Preva Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Preva-AS 150 Tablet,2677394,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Preva-AS 150 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Plagerine-A Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Plagerine-A Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Plagerine-A 150 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Plagerine-A 150 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosuva Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosuva Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rozagold  20 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rozagold  20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rozagold  10 Capsule,,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rozagold  10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Roseday-Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Roseday-Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosuva Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosuva Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosumac Gold Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosumac Gold Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Roseday-Gold Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Roseday-Gold Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosumac Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosumac Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rozucor Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rozucor Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Razel Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Razel Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Razel Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Razel Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rozucor Gold 10 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rozucor Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosutor Gold 10/75 Tablet,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosutor Gold 10/75 Tablet,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosutor Gold 20/75 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosutor Gold 20/75 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosumac Gold Forte 20mg Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosumac Gold Forte 20mg Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosvin-Gold 10 Capsule,1145998,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosvin-Gold 10 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rozustat Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rozustat Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosulip Gold 20 Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosulip Gold 20 Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
Warf 2 Tablet,855302,Rosave-Gold 20mg Capsule,1311190,Increased bleeding risk due to additive anticoagulant effects,high,DrugBank;Clinical Studies,Warf 2 Tablet,Rosave-Gold 20mg Capsule,Increased bleeding risk due to additive anticoagulant effects,clinical_evidence
